keyword,location,priority,category
"golf cart dealer","Ocala FL",1,"golf-carts"
"golf cart sales","Ocala FL",1,"golf-carts"
"golf cart","Ocala FL",1,"golf-carts"
"golf carts","Ocala FL",1,"golf-carts"
"EZ-GO dealer","Ocala FL",1,"golf-carts"
"Club Car dealer","Ocala FL",1,"golf-carts"
"Yamaha golf cart","Ocala FL",1,"golf-carts"
"electric golf cart","Ocala FL",1,"golf-carts"
"used golf cart","Ocala FL",1,"golf-carts"
"golf cart repair","Ocala FL",1,"golf-carts"
"golf cart accessories","Ocala FL",1,"golf-carts"
"LSV dealer","Ocala FL",1,"golf-carts"
"low speed vehicle","Ocala FL",1,"golf-carts"
"golf cart dealer","The Villages FL",2,"golf-carts"
"golf cart sales","The Villages FL",2,"golf-carts"
"golf cart","The Villages FL",2,"golf-carts"
"golf carts","The Villages FL",2,"golf-carts"
"EZ-GO dealer","The Villages FL",2,"golf-carts"
"Club Car dealer","The Villages FL",2,"golf-carts"
"Yamaha golf cart","The Villages FL",2,"golf-carts"
"electric golf cart","The Villages FL",2,"golf-carts"
"used golf cart","The Villages FL",2,"golf-carts"
"golf cart repair","The Villages FL",2,"golf-carts"
"golf cart accessories","The Villages FL",2,"golf-carts"
"LSV dealer","The Villages FL",2,"golf-carts"
"low speed vehicle","The Villages FL",2,"golf-carts"
"car dealership","Ocala FL",3,"dealerships"
"used cars","Ocala FL",3,"dealerships"
"auto dealer","Ocala FL",3,"dealerships"
"truck dealer","Ocala FL",3,"dealerships"
"RV dealer","Ocala FL",3,"dealerships"
"boat dealer","Ocala FL",3,"dealerships"
"motorcycle dealer","Ocala FL",3,"dealerships"
"ATV dealer","Ocala FL",3,"dealerships"
"trailer dealer","Ocala FL",3,"dealerships"
"equipment dealer","Ocala FL",3,"dealerships"
"medical spa","Ocala FL",4,"services"
"medspa","Ocala FL",4,"services"
"botox","Ocala FL",4,"services"
"laser hair removal","Ocala FL",4,"services"
"aesthetics","Ocala FL",4,"services"
"IV therapy","Ocala FL",4,"services"
"weight loss clinic","Ocala FL",4,"services"
"hormone therapy","Ocala FL",4,"services"
"plastic surgery","Ocala FL",4,"services"
"cosmetic dentist","Ocala FL",4,"services"
"dermatologist","Ocala FL",4,"services"
"chiropractor","Ocala FL",4,"services"
"physical therapy","Ocala FL",4,"services"
"urgent care","Ocala FL",4,"services"
"veterinarian","Ocala FL",4,"services"
"hvac","Ocala FL",4,"services"
"air conditioning","Ocala FL",4,"services"
"plumber","Ocala FL",4,"services"
"electrician","Ocala FL",4,"services"
"roofing","Ocala FL",4,"services"
"pest control","Ocala FL",4,"services"
"pool service","Ocala FL",4,"services"
"landscaping","Ocala FL",4,"services"
"lawn care","Ocala FL",4,"services"
"tree service","Ocala FL",4,"services"
"pressure washing","Ocala FL",4,"services"
"garage door","Ocala FL",4,"services"
"fence","Ocala FL",4,"services"
"painting","Ocala FL",4,"services"
"flooring","Ocala FL",4,"services"
"remodeling","Ocala FL",4,"services"
"solar","Ocala FL",4,"services"
"attorney","Ocala FL",4,"services"
"lawyer","Ocala FL",4,"services"
"accountant","Ocala FL",4,"services"
"insurance agent","Ocala FL",4,"services"
"real estate agent","Ocala FL",4,"services"
"realtor","Ocala FL",4,"services"
"mortgage","Ocala FL",4,"services"
"financial advisor","Ocala FL",4,"services"
"restaurant","Ocala FL",4,"services"
"catering","Ocala FL",4,"services"
"gym","Ocala FL",4,"services"
"fitness","Ocala FL",4,"services"
"crossfit","Ocala FL",4,"services"
"martial arts","Ocala FL",4,"services"
"dance studio","Ocala FL",4,"services"
"salon","Ocala FL",4,"services"
"barber","Ocala FL",4,"services"
"spa","Ocala FL",4,"services"
"golf cart","Gainesville FL",5,"golf-carts"
"golf cart","Leesburg FL",5,"golf-carts"
"golf cart","Clermont FL",5,"golf-carts"
"golf cart","Orlando FL",5,"golf-carts"
"golf cart","Sanford FL",5,"golf-carts"
"golf cart","Deltona FL",5,"golf-carts"
"golf cart","Daytona Beach FL",5,"golf-carts"
"golf cart","Tampa FL",5,"golf-carts"
"golf cart","St Petersburg FL",5,"golf-carts"
"golf cart","Clearwater FL",5,"golf-carts"
"golf cart","Brandon FL",5,"golf-carts"
"golf cart","Lakeland FL",5,"golf-carts"
"golf cart","Plant City FL",5,"golf-carts"
"golf cart","Miami FL",5,"golf-carts"
